time,swingplan,boomplan,armplan,bucketplan,swingcurrent,boomcurrent,armcurrent,bucketcurrent
8.897587,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5712,-0.5224
8.978379,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5712,-0.5224
9.022640,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5712,-0.5224
9.133652,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5708,-0.5224
9.176921,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5708,-0.5224
9.217508,-1.571058,-0.9600853,1.570041,-0.5239263,-1.568,-0.956,1.5708,-0.5224
9.298164,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5708,-0.5224
9.326880,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5708,-0.5224
9.373462,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5712,-0.5224
9.411281,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5708,-0.5224
9.457838,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5708,-0.5224
9.497283,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5708,-0.5224
9.540309,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5688,-0.956,1.5708,-0.5224
9.561692,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5708,-0.5224
9.604412,-1.571058,-0.9600853,1.570041,-0.5239263,-1.568,-0.956,1.5708,-0.5224
9.644560,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5708,-0.5224
9.662075,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5708,-0.5224
9.725692,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5688,-0.956,1.5712,-0.5224
9.790804,-1.571058,-0.9600853,1.570041,-0.5239263,-1.568,-0.956,1.5712,-0.5224
9.861863,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5712,-0.5224
9.910805,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5712,-0.5224
9.956416,-1.571058,-0.9600853,1.570041,-0.5239263,-1.568,-0.956,1.5712,-0.5224
10.004796,-1.571058,-0.9600853,1.570041,-0.5239263,-1.568,-0.956,1.5712,-0.5224
10.064609,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5712,-0.5224
10.133998,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5712,-0.5224
10.188652,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5712,-0.5224
10.227912,-1.571058,-0.9600853,1.570041,-0.5239263,-1.568,-0.956,1.5712,-0.5224
10.255036,-1.571058,-0.9600853,1.570041,-0.5239263,-1.568,-0.956,1.5712,-0.5224
10.286830,-1.571058,-0.9600853,1.570041,-0.5239263,-1.568,-0.956,1.5712,-0.5224
10.318348,-1.571058,-0.9600853,1.570041,-0.5239263,-1.568,-0.956,1.5712,-0.5224
10.348369,-1.571058,-0.9600853,1.570041,-0.5239263,-1.568,-0.956,1.5712,-0.5224
10.381615,-1.571058,-0.9600853,1.570041,-0.5239263,-1.568,-0.956,1.5712,-0.5224
10.440194,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5712,-0.5224
10.513569,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5708,-0.522
10.576110,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5712,-0.5224
10.603127,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5712,-0.5224
10.653053,-1.571058,-0.9600853,1.570041,-0.5239263,-1.568,-0.956,1.5712,-0.5224
10.697899,-1.571058,-0.9600853,1.570041,-0.5239263,-1.5684,-0.956,1.5708,-0.5224
