time,swing,boom,arm,bucket,swingmodel,boommodel,armmodel,bucketmodel
15.713894,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
15.759175,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
15.793821,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
15.821010,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
15.857690,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
15.878093,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
15.903283,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
15.939848,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
15.955642,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
15.988807,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
16.015860,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
16.043906,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
16.068868,-1.568,-0.956,1.5708,-0.5224,89.83978,333.5692,89.98022,330.0687
16.095100,-1.568,-0.956,1.5708,-0.5224,89.83978,333.5692,89.98022,330.0687
16.131097,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
16.152448,-1.568,-0.956,1.5708,-0.5224,89.83978,333.5692,89.98022,330.0687
16.180152,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
16.195416,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
16.218156,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
16.255816,-1.568,-0.956,1.5708,-0.5224,89.83978,333.5692,89.98022,330.0687
16.287269,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
16.312938,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
16.326331,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
16.351444,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
16.364999,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
16.379734,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
16.406742,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
16.431636,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
16.445009,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
16.475742,-1.568,-0.956,1.5708,-0.5224,89.83978,333.5692,89.98022,330.0687
16.514977,-1.5684,-0.956,1.5708,-0.5224,89.8627,333.5692,89.98022,330.0687
16.567564,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
16.602915,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
16.640825,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
16.655431,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
16.671565,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
16.699192,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
16.730520,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
16.775300,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
16.796325,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
16.819926,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
16.832927,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
16.865761,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
16.895096,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
16.918892,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
16.933154,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
16.959211,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
16.992895,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
17.008750,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
17.035404,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
17.067878,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
17.087775,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
17.105026,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
17.123940,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
17.140465,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
17.156706,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
17.173257,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
17.190620,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
17.207223,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
17.222915,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
17.239483,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
17.254091,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
17.269122,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
17.290812,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
17.343471,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
17.378950,-1.5684,-0.956,1.5708,-0.522,89.8627,333.5692,89.98022,330.0916
17.411502,-1.568,-0.956,1.5708,-0.5224,89.83978,333.5692,89.98022,330.0687
